"PERMVIT","RELJCT1","WEIGHT","MAKE","MODEL","ROLLOVER","VNUM_LAN","VTRAFCON","PCRASH5","ACC_TYPE","MDLYR_IM","IMPACT1_IM","PCRASH1_IM","INJ_SEV","REST_USE","AIR_BAG","SEX_IM","AGE_IM"
2,8,30.935279891990813,37,705,0,5,0,1,83,2015,12,1,3,98,20,1,27
3,8,76.42125784963191,49,32,0,3,3,1,86,2015,12,1,2,3,9,2,53
3,0,30.66203671248726,49,32,9,4,0,2,46,2012,83,15,3,20,20,1,61
1,0,31.786726372085962,37,31,1,2,0,4,1,2014,12,1,3,99,8,2,19
1,0,30.81233997299838,49,40,0,2,0,4,98,1993,1,1,2,3,20,1,66
2,0,29.71208287092207,20,404,9,2,0,1,86,2012,12,1,3,3,20,2,28
3,0,29.71208287092207,37,31,0,2,0,1,98,2009,12,1,3,3,9,2,64
1,0,29.88394858366536,12,17,0,2,0,1,13,2013,12,1,3,3,9,1,29
1,0,30.42650221431938,34,706,0,2,0,4,98,2015,0,14,2,19,20,1,38
1,0,30.42650221431938,34,705,0,2,0,4,98,2013,0,14,2,19,20,1,31
1,0,27.53492415569608,7,482,0,2,0,4,6,2007,12,1,3,20,1,1,33
1,0,68.38656771536894,63,32,0,5,0,4,6,2015,12,11,2,99,1,2,19
1,0,159.34962839716783,30,40,0,2,0,4,6,2004,12,14,2,3,20,2,32
4,0,27.297360647536284,6,18,0,2,40,2,64,2013,11,1,2,3,20,2,37
4,0,27.297360647536284,37,32,0,2,0,1,65,2002,8,1,3,3,1,2,19
3,0,27.297360647536284,49,40,9,2,20,1,89,2011,62,1,3,3,2,1,39
3,0,27.297360647536284,23,421,0,2,0,1,88,2006,12,1,2,3,2,1,39
3,0,67.78164858225554,23,423,0,2,0,1,69,2015,12,1,2,3,8,2,32
1,0,132.1532894634652,87,884,2,2,0,4,5,2000,0,1,2,3,20,1,54
2,1,27.297360647536284,35,47,0,8,0,2,98,2003,12,16,3,3,8,1,38
2,0,159.4516256512106,35,39,0,2,0,1,87,2012,3,1,2,3,20,1,23
4,0,67.78164858225554,2,422,0,2,0,1,28,2016,12,1,2,98,20,1,38
2,0,159.4516256512106,12,471,0,4,0,1,88,2011,12,1,2,3,1,1,22
1,0,159.4516256512106,30,40,0,8,0,4,1,2007,12,1,2,3,1,2,56
2,0,27.351255614157374,20,471,0,4,0,1,24,2001,12,1,2,20,20,1,18
2,0,27.351255614157374,19,20,0,4,0,1,25,2008,6,1,3,3,20,1,18
2,8,47.64461409733746,20,401,1,4,3,2,83,2000,4,1,3,3,20,1,36
2,0,47.64461409733746,37,706,0,5,98,2,83,2005,12,1,3,17,20,1,23
2,0,47.64461409733746,35,47,0,2,98,4,1,2016,12,14,3,3,8,2,56
6,0,47.64461409733746,35,47,0,3,98,2,48,2006,11,1,2,3,20,2,39
6,0,47.64461409733746,20,404,0,3,98,2,48,2005,12,1,3,3,9,2,46
2,0,161.23074291029965,22,401,0,3,98,2,52,2004,12,1,2,3,8,1,33
5,8,13.23532840039349,12,422,0,8,3,1,68,2003,1,11,2,3,9,1,38
2,8,33.435894039372144,53,709,0,5,3,1,69,2013,12,1,2,19,20,1,47
4,0,47.64461409733746,55,35,0,3,98,2,44,2013,82,1,3,3,20,2,24
4,0,47.64461409733746,48,401,0,3,98,5,98,2007,6,5,2,3,20,2,31
4,0,47.64461409733746,20,421,0,3,98,5,21,2000,6,5,3,3,20,1,36
1,0,47.64461409733746,35,473,0,3,98,4,7,2005,12,1,3,3,9,1,41
2,0,49.83918911891075,35,402,0,5,0,4,6,2002,14,1,3,3,9,1,42
1,0,161.23074291029965,63,402,1,2,98,4,2,2006,6,1,2,3,20,2,21
6,0,47.64461409733746,12,481,1,3,98,1,69,2016,8,1,3,3,8,2,43
3,8,47.64461409733746,35,473,0,1,98,7,98,2004,82,14,3,3,9,2,47
3,8,47.64461409733746,51,881,0,3,98,1,98,1998,12,1,3,3,20,1,56
4,0,66.98383254810747,37,31,0,3,98,2,47,2012,11,15,2,3,8,1,45
4,0,66.98383254810747,12,23,0,3,98,1,45,2016,5,1,2,3,20,1,39
2,0,157.28765669267446,7,403,0,2,98,4,3,2011,12,14,2,3,9,2,54
4,0,27.351255619744823,35,472,0,4,40,1,68,2007,12,11,3,3,9,1,16
4,0,27.351255619744823,49,44,0,8,40,1,69,1999,11,1,2,3,9,2,61
3,8,19.929797985649962,20,16,0,2,20,1,87,2002,1,1,3,3,8,2,50
3,8,19.929797985649962,20,422,0,2,98,1,86,2015,12,1,3,3,8,2,38
3,8,27.351255619744823,20,481,0,2,20,1,87,2007,1,1,3,3,9,1,41
3,8,27.351255619744823,7,442,0,3,98,1,86,2005,12,1,3,3,9,2,50
1,0,36.743401184742105,49,40,1,2,0,4,6,2011,12,14,4,20,8,2,25
1,0,27.35125560549351,12,37,9,2,0,4,3,2002,14,14,3,3,8,2,46
2,0,47.64461409733746,20,403,0,2,98,1,21,2003,6,5,3,3,20,1,54
1,0,47.64461409733746,6,51,0,2,98,4,7,2005,12,14,3,3,20,1,30
1,0,47.64461409733746,12,37,1,2,98,4,1,2009,6,1,3,20,8,2,53
3,8,27.351255626578276,12,461,0,5,3,2,50,1993,12,1,3,20,20,1,60
2,8,13.235328409387753,20,2,0,4,3,1,88,2015,12,14,3,3,9,1,64
3,8,47.64461409733746,22,22,0,2,98,1,21,2006,6,5,3,3,20,2,26
3,0,27.351255626578276,20,37,0,2,98,1,65,2006,11,1,3,3,20,1,53
1,0,157.28765669886664,12,471,0,2,98,4,6,2000,12,14,2,3,9,2,55
2,0,13.235328409387753,49,40,0,3,98,2,32,2014,6,15,3,3,20,1,23
3,0,47.64461409733746,23,481,0,2,98,1,21,2010,6,5,3,3,20,1,50
2,0,13.627073828859473,37,31,0,2,0,4,1,2016,12,14,3,3,20,2,43
1,0,47.64461409733746,20,37,0,2,0,4,2,2007,12,14,3,3,9,2,62
2,8,47.64461409733746,20,421,0,2,0,1,22,1997,6,5,3,3,20,1,46
1,0,27.351255619744823,54,31,1,2,98,4,7,1996,12,2,3,3,20,1,18
1,0,37.81528099208027,51,46,0,8,98,1,13,2004,12,1,2,3,20,2,40
2,0,27.35125560549351,34,34,0,2,0,2,50,2003,12,1,2,3,9,1,19
2,0,27.35125560549351,12,3,0,2,0,1,51,2002,12,1,3,3,20,2,31
3,0,47.64461409733746,37,31,0,2,0,4,2,2000,12,14,3,3,9,2,35
2,8,47.64461409733746,49,40,0,2,20,1,82,2011,7,11,3,3,20,2,30
1,0,47.64461409733746,20,403,9,2,0,4,7,2008,12,14,3,3,9,2,17
2,0,161.23074291029965,35,43,0,2,98,2,64,2005,12,14,2,3,20,2,59
2,8,13.235328409387753,12,481,0,8,3,1,28,2008,12,1,3,3,9,2,20
2,8,13.235328409387753,20,37,0,8,3,1,29,2016,6,2,3,3,20,2,34
1,0,47.64461409733746,21,21,1,2,0,4,8,2000,3,6,3,20,9,1,26
